logKd,PH,Salinity,Temperature,Water Type
1.56,7.0,0.0,25.0,Freshwater
1.49,7.0,0.0,25.0,Freshwater
1.54,7.0,0.0,25.0,Freshwater
3.21,6.95,0.0026,25.0,Freshwater
2.4,6.95,0.0026,25.0,Freshwater
2.91,6.95,0.0026,25.0,Freshwater
2.1,6.95,0.0026,25.0,Freshwater
1.83,6.95,0.0026,25.0,Freshwater
2.57,6.95,0.0026,25.0,Freshwater
2.67,6.95,0.0026,25.0,Freshwater
3.86,6.95,0.0026,25.0,Freshwater
2.19,6.95,0.0026,25.0,Freshwater
1.72,6.95,0.0026,25.0,Freshwater
2.45,6.95,0.0026,25.0,Freshwater
2.33,6.95,0.0026,25.0,Freshwater
3.52,6.95,0.0026,25.0,Freshwater
2.56,6.95,0.0026,25.0,Freshwater
2.21,6.95,0.0026,25.0,Freshwater
1.96,6.95,0.0026,25.0,Freshwater
2.7,6.95,0.0026,25.0,Freshwater
2.5,6.95,0.0026,25.0,Freshwater
4.77,6.95,0.0026,25.0,Freshwater
2.0,6.95,0.0026,25.0,Freshwater
1.74,6.95,0.0026,25.0,Freshwater
4.91,6.95,0.0026,25.0,Freshwater
2.55,6.95,0.0026,25.0,Freshwater
2.59,6.95,0.0026,25.0,Freshwater
2.13,5.5,0.0,25.0,DI
2.07,5.5,0.0,25.0,DI
1.8,5.5,0.0,25.0,DI
2.07,5.5,0.0,25.0,DI
2.01,5.5,0.0,25.0,DI
1.78,5.5,0.0,25.0,DI
1.89,5.5,0.0,25.0,DI
1.23,6.0,0.0,25.0,DI
0.95,6.0,0.0,25.0,DI
0.93,6.0,0.0,25.0,DI
3.31,6.0,0.0,25.0,DI
2.95,6.0,0.0,25.0,DI
2.9,6.0,0.0,25.0,DI
1.71,7.0,0.0,25.0,DI
1.73,7.1,0.0,25.0,DI
1.76,7.1,0.0,25.0,DI
1.72,6.9,0.0,25.0,DI
2.04,6.7,0.0,25.0,DI
0.94,7.0,0.0,25.0,DI
0.98,7.1,0.0,25.0,DI
1.07,7.1,0.0,25.0,DI
0.9,6.9,0.0,25.0,DI
1.29,6.7,0.0,25.0,DI
0.85,7.0,0.0,25.0,DI
0.89,7.1,0.0,25.0,DI
0.97,7.1,0.0,25.0,DI
0.77,6.9,0.0,25.0,DI
0.92,6.7,0.0,25.0,DI
1.61,6.7,0.0,25.0,DI
0.55,8.0,0.0,25.0,Seawater
0.89,8.0,0.0,25.0,Seawater
0.88,8.0,0.0,25.0,Seawater
0.79,8.0,0.0,25.0,Seawater
0.83,8.0,0.0,25.0,Seawater
0.81,8.0,0.0,25.0,Seawater
0.85,8.0,0.0,25.0,Seawater
0.88,8.0,0.0,25.0,Seawater
0.77,8.0,0.0,25.0,Seawater
0.87,8.0,0.0,25.0,Seawater
0.7,8.0,0.0,25.0,Seawater
5.51,7.0,0.008,20.0,Freshwater
5.45,7.0,0.008,20.0,Freshwater
4.78,7.0,0.008,20.0,Freshwater
4.63,7.0,0.008,20.0,Freshwater
5.63,7.0,0.008,20.0,Freshwater
4.7,7.0,0.008,20.0,Freshwater
5.01,7.0,0.008,20.0,Freshwater
6.04,7.0,0.008,20.0,Freshwater
5.32,7.0,0.008,20.0,Freshwater
7.5,7.0,0.008,20.0,Freshwater
7.27,7.0,0.008,20.0,Freshwater
8.17,7.0,0.008,20.0,Freshwater
8.45,7.0,0.008,20.0,Freshwater
5.27,7.0,0.008,20.0,Freshwater
5.01,7.0,0.008,20.0,Freshwater
7.34,7.0,0.008,20.0,Freshwater
3.51,8.1,0.7,18.0,Seawater
4.69,8.1,0.7,18.0,Seawater
4.99,8.1,0.7,18.0,Seawater
0.99,8.1,0.7,18.0,Seawater
2.67,8.1,0.7,18.0,Seawater
5.0,8.1,0.7,18.0,Seawater
4.42,8.1,0.7,25.0,Seawater
3.85,8.1,0.7,25.0,Seawater
5.41,8.1,0.7,25.0,Seawater
5.5,8.1,0.7,25.0,Seawater
4.74,8.1,0.7,25.0,Seawater
5.93,8.1,0.7,25.0,Seawater
4.75,8.1,0.7,25.0,Seawater
4.24,8.1,0.7,25.0,Seawater
5.63,8.1,0.7,25.0,Seawater
5.55,8.1,0.7,25.0,Seawater
4.75,8.1,0.7,25.0,Seawater
5.86,8.1,0.7,25.0,Seawater
6.37,8.1,0.7,25.0,Seawater
5.46,8.1,0.7,25.0,Seawater
6.65,8.1,0.7,25.0,Seawater
7.15,8.1,0.7,25.0,Seawater
6.05,8.1,0.7,25.0,Seawater
6.94,8.1,0.7,25.0,Seawater
7.85,8.1,0.7,25.0,Seawater
6.95,8.1,0.7,25.0,Seawater
7.54,8.1,0.7,25.0,Seawater
7.59,8.1,0.7,25.0,Seawater
6.64,8.1,0.7,25.0,Seawater
7.17,8.1,0.7,25.0,Seawater
2.39,8.1,0.7,25.0,Seawater
2.64,8.1,0.7,25.0,Seawater
3.21,8.1,0.7,25.0,Seawater
2.02,8.1,0.7,25.0,Seawater
2.13,8.1,0.7,25.0,Seawater
2.65,8.1,0.7,25.0,Seawater
2.31,8.1,0.7,25.0,Seawater
2.53,8.1,0.7,25.0,Seawater
3.3,8.1,0.7,25.0,Seawater
2.06,8.1,0.7,25.0,Seawater
2.18,8.1,0.7,25.0,Seawater
2.82,8.1,0.7,25.0,Seawater
4.61,8.1,0.7,25.0,Seawater
4.45,8.1,0.7,25.0,Seawater
5.12,8.1,0.7,25.0,Seawater
5.2,8.1,0.7,25.0,Seawater
4.96,8.1,0.7,25.0,Seawater
5.3,8.1,0.7,25.0,Seawater
4.56,8.1,0.7,18.0,Seawater
3.29,8.1,0.7,18.0,Seawater
3.36,8.1,0.7,18.0,Seawater
3.37,8.1,0.7,18.0,Seawater
4.9,6.0,0.0,21.0,DI
5.4,6.0,0.0,21.0,DI
5.5,6.0,0.0,21.0,DI
5.9,6.0,0.0,21.0,DI
6.2,6.0,0.0,21.0,DI
6.1,6.0,0.0,21.0,DI
6.4,6.0,0.0,21.0,DI
6.3,6.0,0.0,21.0,DI
6.4,6.0,0.0,21.0,DI
6.6,6.0,0.0,21.0,DI
6.6,6.0,0.0,21.0,DI
6.9,6.0,0.0,21.0,DI
5.0,6.0,0.0,21.0,DI
4.7,6.0,0.0,21.0,DI
5.3,6.0,0.0,21.0,DI
5.2,6.0,0.0,21.0,DI
4.3,6.0,0.0,21.0,DI
4.3,6.0,0.0,21.0,DI
5.083,6.0,0.0,25.0,DI
5.301,6.0,0.0,25.0,DI
4.98,8.1,0.5,12.0,Seawater
5.09,8.1,0.5,12.0,Seawater
5.09,8.1,0.5,12.0,Seawater
5.14,8.1,0.5,12.0,Seawater
5.63,8.1,0.5,12.0,Seawater
5.26,8.1,0.5,12.0,Seawater
5.71,8.1,0.5,12.0,Seawater
5.77,8.1,0.5,12.0,Seawater
5.51,8.1,0.5,12.0,Seawater
5.26,8.1,0.5,12.0,Seawater
5.63,8.1,0.5,12.0,Seawater
5.51,8.1,0.5,12.0,Seawater
6.19,8.1,0.5,12.0,Seawater
