logKd,MPs types,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
1.56,PE,Aged,Freshwater,0.95,,750.0,0.76,2.13,2.53,0.59,1.53,2.0043,7.0,0.0,25.0
1.49,PS,Aged,Freshwater,1.05,,750.0,0.76,2.13,2.53,0.59,1.53,2.0043,7.0,0.0,25.0
1.54,PS,Aged,Freshwater,1.05,,750.0,0.48,1.89,2.23,0.58,1.29,1.7244,7.0,0.0,25.0
3.21,PE,Pristine,Freshwater,0.95,,280.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.95,0.0026,25.0
2.4,PE,Pristine,Freshwater,0.95,,280.0,2.36,0.87,1.11,0.0,0.28,1.0315,6.95,0.0026,25.0
2.91,PE,Pristine,Freshwater,0.95,,280.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.95,0.0026,25.0
2.1,PE,Pristine,Freshwater,0.95,,280.0,1.81,0.87,1.11,0.0,0.28,0.8906,6.95,0.0026,25.0
1.83,PE,Pristine,Freshwater,0.95,,280.0,1.63,1.15,1.6,0.0,0.47,1.0648,6.95,0.0026,25.0
2.57,PE,Pristine,Freshwater,0.95,,280.0,2.36,0.87,1.11,0.0,0.28,1.0315,6.95,0.0026,25.0
2.67,PE,Pristine,Freshwater,0.95,,280.0,2.8,0.96,0.82,0.54,0.17,1.0199,6.95,0.0026,25.0
3.86,PE,Pristine,Freshwater,0.95,,280.0,4.57,1.18,0.92,0.0,0.0,1.206,6.95,0.0026,25.0
2.19,PE,Pristine,Freshwater,0.95,,280.0,2.94,1.68,1.79,0.0,1.24,2.1452,6.95,0.0026,25.0
1.72,PE,Pristine,Freshwater,0.95,,280.0,0.64,2.21,2.21,0.86,0.75,1.5757,6.95,0.0026,25.0
2.45,PE,Pristine,Freshwater,0.95,,280.0,2.27,1.28,1.63,0.0,0.42,1.1872,6.95,0.0026,25.0
2.33,PE,Pristine,Freshwater,0.95,,280.0,2.18,1.15,1.58,0.0,0.49,1.2057,6.95,0.0026,25.0
3.52,CPE,Pristine,Freshwater,1.2,,280.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.95,0.0026,25.0
2.56,CPE,Pristine,Freshwater,1.2,,280.0,2.27,1.28,1.63,0.0,0.42,1.1872,6.95,0.0026,25.0
2.21,CPE,Pristine,Freshwater,1.2,,280.0,1.81,0.87,1.11,0.0,0.28,0.8906,6.95,0.0026,25.0
1.96,CPE,Pristine,Freshwater,1.2,,280.0,1.63,1.15,1.6,0.0,0.47,1.0648,6.95,0.0026,25.0
2.7,CPE,Pristine,Freshwater,1.2,,280.0,2.8,0.96,0.82,0.54,0.17,1.0199,6.95,0.0026,25.0
2.5,CPE,Pristine,Freshwater,1.2,,280.0,2.18,1.15,1.58,0.0,0.49,1.2057,6.95,0.0026,25.0
4.77,CPE,Pristine,Freshwater,1.2,,280.0,4.57,1.18,0.92,0.0,0.0,1.206,6.95,0.0026,25.0
2.0,CPE,Pristine,Freshwater,1.2,,280.0,2.94,1.68,1.79,0.0,1.24,2.1452,6.95,0.0026,25.0
1.74,CPE,Pristine,Freshwater,1.2,,280.0,0.64,2.21,2.21,0.86,0.75,1.5757,6.95,0.0026,25.0
4.91,CPE,Pristine,Freshwater,1.2,,280.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.95,0.0026,25.0
2.55,CPE,Pristine,Freshwater,1.2,,280.0,2.36,0.87,1.11,0.0,0.28,1.0315,6.95,0.0026,25.0
2.59,CPE,Pristine,Freshwater,1.2,,280.0,2.36,0.87,1.11,0.0,0.28,1.0315,6.95,0.0026,25.0
2.13,PE,Pristine,DI,0.95,,28.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
2.07,PE,Pristine,DI,0.95,,48.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.8,PE,Pristine,DI,0.95,,125.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
2.07,PE,Pristine,DI,0.95,,250.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
2.01,PE,Pristine,DI,0.95,,590.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.78,PS,Pristine,DI,1.05,,74.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.89,PVC,Pristine,DI,1.4,,74.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.23,PS,Pristine,DI,1.05,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
0.95,PE,Pristine,DI,0.95,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
0.93,PVC,Pristine,DI,1.4,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
3.31,PS,Pristine,DI,1.05,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
2.95,PE,Pristine,DI,0.95,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
2.9,PVC,Pristine,DI,1.4,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
1.71,PP,Pristine,DI,0.9,,117.29,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
1.73,PS,Pristine,DI,1.05,,132.05,0.0,2.2,2.34,0.7,2.52,2.3047,7.1,0.0,25.0
1.76,PVC,Pristine,DI,1.4,,86.92,0.0,2.2,2.34,0.7,2.52,2.3047,7.1,0.0,25.0
1.72,PE,Pristine,DI,0.95,,149.1,0.0,2.2,2.34,0.7,2.52,2.3047,6.9,0.0,25.0
2.04,PA,Pristine,DI,1.14,,134.2,0.0,2.2,2.34,0.7,2.52,2.3047,6.7,0.0,25.0
0.94,PP,Pristine,DI,0.9,,117.29,0.73,1.89,2.5,0.21,1.69,2.1813,7.0,0.0,25.0
0.98,PS,Pristine,DI,1.05,,132.05,0.73,1.89,2.5,0.21,1.69,2.1813,7.1,0.0,25.0
1.07,PVC,Pristine,DI,1.4,,86.92,0.73,1.89,2.5,0.21,1.69,2.1813,7.1,0.0,25.0
0.9,PE,Pristine,DI,0.95,,149.1,0.73,1.89,2.5,0.21,1.69,2.1813,6.9,0.0,25.0
1.29,PA,Pristine,DI,1.14,,134.2,0.73,1.89,2.5,0.21,1.69,2.1813,6.7,0.0,25.0
0.85,PP,Pristine,DI,0.9,,117.29,-0.34,2.08,2.55,0.65,1.37,1.7225,7.0,0.0,25.0
0.89,PS,Pristine,DI,1.05,,132.05,-0.34,2.08,2.55,0.65,1.37,1.7225,7.1,0.0,25.0
0.97,PVC,Pristine,DI,1.4,,86.92,-0.34,2.08,2.55,0.65,1.37,1.7225,7.1,0.0,25.0
0.77,PE,Pristine,DI,0.95,,149.1,-0.34,2.08,2.55,0.65,1.37,1.7225,6.9,0.0,25.0
0.92,PA,Pristine,DI,1.14,,134.2,-0.34,2.08,2.55,0.65,1.37,1.7225,6.7,0.0,25.0
1.61,PA,Pristine,DI,1.14,,134.2,-0.18,3.5,3.6,1.35,3.29,3.0992,6.7,0.0,25.0
0.55,PP,Pristine,Seawater,0.9,,117.29,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.89,PS,Pristine,Seawater,1.05,,132.05,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.88,PVC,Pristine,Seawater,1.4,,86.92,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.79,PE,Pristine,Seawater,0.95,,149.1,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.83,PA,Pristine,Seawater,1.14,,134.2,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
