logKd,MPs types,Ageing_Status,Plastic Density,SSA,Particle Size
1.56,PE,Aged,0.95,,750.0
1.49,PS,Aged,1.05,,750.0
1.54,PS,Aged,1.05,,750.0
3.21,PE,Pristine,0.95,,280.0
2.4,PE,Pristine,0.95,,280.0
2.91,PE,Pristine,0.95,,280.0
2.1,PE,Pristine,0.95,,280.0
1.83,PE,Pristine,0.95,,280.0
2.57,PE,Pristine,0.95,,280.0
2.67,PE,Pristine,0.95,,280.0
3.86,PE,Pristine,0.95,,280.0
2.19,PE,Pristine,0.95,,280.0
1.72,PE,Pristine,0.95,,280.0
2.45,PE,Pristine,0.95,,280.0
2.33,PE,Pristine,0.95,,280.0
3.52,CPE,Pristine,1.2,,280.0
2.56,CPE,Pristine,1.2,,280.0
2.21,CPE,Pristine,1.2,,280.0
1.96,CPE,Pristine,1.2,,280.0
2.7,CPE,Pristine,1.2,,280.0
2.5,CPE,Pristine,1.2,,280.0
4.77,CPE,Pristine,1.2,,280.0
2.0,CPE,Pristine,1.2,,280.0
1.74,CPE,Pristine,1.2,,280.0
4.91,CPE,Pristine,1.2,,280.0
2.55,CPE,Pristine,1.2,,280.0
2.59,CPE,Pristine,1.2,,280.0
2.13,PE,Pristine,0.95,,28.0
2.07,PE,Pristine,0.95,,48.0
1.8,PE,Pristine,0.95,,125.0
2.07,PE,Pristine,0.95,,250.0
2.01,PE,Pristine,0.95,,590.0
1.78,PS,Pristine,1.05,,74.0
1.89,PVC,Pristine,1.4,,74.0
1.23,PS,Pristine,1.05,,75.0
0.95,PE,Pristine,0.95,,75.0
0.93,PVC,Pristine,1.4,,75.0
3.31,PS,Pristine,1.05,,75.0
2.95,PE,Pristine,0.95,,75.0
2.9,PVC,Pristine,1.4,,75.0
1.71,PP,Pristine,0.9,,117.29
1.73,PS,Pristine,1.05,,132.05
1.76,PVC,Pristine,1.4,,86.92
1.72,PE,Pristine,0.95,,149.1
2.04,PA,Pristine,1.14,,134.2
0.94,PP,Pristine,0.9,,117.29
0.98,PS,Pristine,1.05,,132.05
1.07,PVC,Pristine,1.4,,86.92
0.9,PE,Pristine,0.95,,149.1
1.29,PA,Pristine,1.14,,134.2
0.85,PP,Pristine,0.9,,117.29
0.89,PS,Pristine,1.05,,132.05
0.97,PVC,Pristine,1.4,,86.92
0.77,PE,Pristine,0.95,,149.1
0.92,PA,Pristine,1.14,,134.2
1.61,PA,Pristine,1.14,,134.2
0.55,PP,Pristine,0.9,,117.29
0.89,PS,Pristine,1.05,,132.05
0.88,PVC,Pristine,1.4,,86.92
0.79,PE,Pristine,0.95,,149.1
0.83,PA,Pristine,1.14,,134.2
0.81,PP,Pristine,0.9,,117.29
0.85,PS,Pristine,1.05,,132.05
0.88,PVC,Pristine,1.4,,86.92
0.77,PE,Pristine,0.95,,149.1
0.87,PA,Pristine,1.14,,134.2
0.7,PA,Pristine,1.14,,134.2
5.51,PE,Pristine,0.95,230.8,95.0
5.45,PE,Pristine,0.95,230.7,95.0
4.78,PE,Pristine,0.95,233.2,95.0
4.63,PE,Pristine,0.95,235.8,95.0
5.63,PE,Pristine,0.95,246.4,95.0
4.7,PE,Pristine,0.95,251.6,95.0
5.01,PE,Pristine,0.95,259.4,95.0
6.04,PE,Pristine,0.95,260.0,95.0
5.32,PE,Pristine,0.95,262.0,95.0
7.5,PE,Pristine,0.95,267.4,95.0
7.27,PE,Pristine,0.95,275.0,95.0
8.17,PE,Pristine,0.95,277.7,95.0
8.45,PE,Pristine,0.95,280.4,95.0
5.27,PE,Pristine,0.95,251.0,95.0
5.01,PE,Pristine,0.95,266.6,95.0
7.34,PE,Pristine,0.95,282.2,95.0
3.51,PVC,Pristine,1.4,,225.0
4.69,PVC,Pristine,1.4,,225.0
4.99,PVC,Pristine,1.4,,225.0
0.99,PE,Pristine,0.95,,225.0
