logKd,LogKow,E,S,A,B,V
1.56,0.76,2.13,2.53,0.59,1.53,2.0043
1.49,0.76,2.13,2.53,0.59,1.53,2.0043
1.54,0.48,1.89,2.23,0.58,1.29,1.7244
3.21,4.35,2.06,1.29,0.0,0.29,1.4544
2.4,2.36,0.87,1.11,0.0,0.28,1.0315
2.91,3.17,1.34,0.92,0.0,0.2,1.0854
2.1,1.81,0.87,1.11,0.0,0.28,0.8906
1.83,1.63,1.15,1.6,0.0,0.47,1.0648
2.57,2.36,0.87,1.11,0.0,0.28,1.0315
2.67,2.8,0.96,0.82,0.54,0.17,1.0199
3.86,4.57,1.18,0.92,0.0,0.0,1.206
2.19,2.94,1.68,1.79,0.0,1.24,2.1452
1.72,0.64,2.21,2.21,0.86,0.75,1.5757
2.45,2.27,1.28,1.63,0.0,0.42,1.1872
2.33,2.18,1.15,1.58,0.0,0.49,1.2057
3.52,3.17,1.34,0.92,0.0,0.2,1.0854
2.56,2.27,1.28,1.63,0.0,0.42,1.1872
2.21,1.81,0.87,1.11,0.0,0.28,0.8906
1.96,1.63,1.15,1.6,0.0,0.47,1.0648
2.7,2.8,0.96,0.82,0.54,0.17,1.0199
2.5,2.18,1.15,1.58,0.0,0.49,1.2057
4.77,4.57,1.18,0.92,0.0,0.0,1.206
2.0,2.94,1.68,1.79,0.0,1.24,2.1452
1.74,0.64,2.21,2.21,0.86,0.75,1.5757
4.91,4.35,2.06,1.29,0.0,0.29,1.4544
2.55,2.36,0.87,1.11,0.0,0.28,1.0315
2.59,2.36,0.87,1.11,0.0,0.28,1.0315
2.13,-0.18,3.5,3.6,1.35,3.29,3.0992
2.07,-0.18,3.5,3.6,1.35,3.29,3.0992
1.8,-0.18,3.5,3.6,1.35,3.29,3.0992
2.07,-0.18,3.5,3.6,1.35,3.29,3.0992
2.01,-0.18,3.5,3.6,1.35,3.29,3.0992
1.78,-0.18,3.5,3.6,1.35,3.29,3.0992
1.89,-0.18,3.5,3.6,1.35,3.29,3.0992
1.23,2.71,0.73,1.39,0.0,0.89,1.7106
0.95,2.71,0.73,1.39,0.0,0.89,1.7106
0.93,2.71,0.73,1.39,0.0,0.89,1.7106
3.31,4.67,0.7,1.27,0.0,0.95,2.2742
2.95,4.67,0.7,1.27,0.0,0.95,2.2742
2.9,4.67,0.7,1.27,0.0,0.95,2.2742
1.71,0.0,2.2,2.34,0.7,2.52,2.3047
1.73,0.0,2.2,2.34,0.7,2.52,2.3047
1.76,0.0,2.2,2.34,0.7,2.52,2.3047
1.72,0.0,2.2,2.34,0.7,2.52,2.3047
2.04,0.0,2.2,2.34,0.7,2.52,2.3047
0.94,0.73,1.89,2.5,0.21,1.69,2.1813
0.98,0.73,1.89,2.5,0.21,1.69,2.1813
1.07,0.73,1.89,2.5,0.21,1.69,2.1813
0.9,0.73,1.89,2.5,0.21,1.69,2.1813
1.29,0.73,1.89,2.5,0.21,1.69,2.1813
0.85,-0.34,2.08,2.55,0.65,1.37,1.7225
0.89,-0.34,2.08,2.55,0.65,1.37,1.7225
0.97,-0.34,2.08,2.55,0.65,1.37,1.7225
0.77,-0.34,2.08,2.55,0.65,1.37,1.7225
0.92,-0.34,2.08,2.55,0.65,1.37,1.7225
1.61,-0.18,3.5,3.6,1.35,3.29,3.0992
0.55,0.73,1.89,2.5,0.21,1.69,2.1813
0.89,0.73,1.89,2.5,0.21,1.69,2.1813
0.88,0.73,1.89,2.5,0.21,1.69,2.1813
0.79,0.73,1.89,2.5,0.21,1.69,2.1813
0.83,0.73,1.89,2.5,0.21,1.69,2.1813
0.81,-0.34,2.08,2.55,0.65,1.37,1.7225
0.85,-0.34,2.08,2.55,0.65,1.37,1.7225
0.88,-0.34,2.08,2.55,0.65,1.37,1.7225
0.77,-0.34,2.08,2.55,0.65,1.37,1.7225
0.87,-0.34,2.08,2.55,0.65,1.37,1.7225
0.7,-0.18,3.5,3.6,1.35,3.29,3.0992
5.51,5.69,1.76,1.33,0.0,0.15,1.6914
5.45,5.69,1.77,1.33,0.0,0.15,1.6914
4.78,6.34,1.9,1.48,0.0,0.15,1.8138
4.63,6.34,1.9,1.48,0.0,0.15,1.8138
5.63,6.34,1.91,1.46,0.0,0.13,1.8138
4.7,6.98,2.04,1.61,0.0,0.13,1.9362
5.01,6.98,2.04,1.59,0.0,0.11,1.9362
6.04,7.62,2.16,1.74,0.0,0.11,2.0586
5.32,7.21,2.06,1.59,0.0,0.11,1.9362
7.5,7.62,2.18,1.74,0.0,0.11,2.0586
7.27,7.86,2.21,1.72,0.0,0.09,2.0586
8.17,8.27,2.33,1.87,0.0,0.09,2.181
8.45,8.27,2.29,1.87,0.0,0.09,2.181
5.27,6.57,1.94,1.44,0.0,0.11,1.8138
5.01,7.06,2.11,1.57,0.0,0.09,1.9362
7.34,7.7,2.21,1.7,0.0,0.07,2.0586
3.51,4.35,2.06,1.29,0.0,0.29,1.4544
4.69,6.79,1.81,1.76,0.0,0.16,2.218
4.99,8.39,0.64,1.25,0.0,1.02,3.4014
0.99,4.35,2.06,1.29,0.0,0.29,1.4544
2.67,6.79,1.81,1.76,0.0,0.16,2.218
5.0,8.39,0.64,1.25,0.0,1.02,3.4014
4.42,4.35,2.06,1.29,0.0,0.29,1.4544
3.85,4.35,2.06,1.29,0.0,0.29,1.4544
5.41,4.35,2.06,1.29,0.0,0.29,1.4544
5.5,4.8,2.38,1.55,0.0,0.24,1.5846
4.74,4.8,2.38,1.55,0.0,0.24,1.5846
5.93,4.8,2.38,1.55,0.0,0.24,1.5846
4.75,4.35,2.29,1.34,0.0,0.28,1.4544
4.24,4.35,2.29,1.34,0.0,0.28,1.4544
5.63,4.35,2.29,1.34,0.0,0.28,1.4544
5.55,4.93,2.81,1.71,0.0,0.28,1.5846
4.75,4.93,2.81,1.71,0.0,0.28,1.5846
5.86,4.93,2.81,1.71,0.0,0.28,1.5846
6.37,5.52,3.03,1.73,0.0,0.33,1.8234
5.46,5.52,3.03,1.73,0.0,0.33,1.8234
6.65,5.52,3.03,1.73,0.0,0.33,1.8234
7.15,7.22,3.63,1.98,0.0,0.44,1.9536
6.05,7.22,3.63,1.98,0.0,0.44,1.9536
6.94,7.22,3.63,1.98,0.0,0.44,1.9536
7.85,6.22,4.0,2.04,0.0,0.44,2.1924
6.95,6.22,4.0,2.04,0.0,0.44,2.1924
7.54,6.22,4.0,2.04,0.0,0.44,2.1924
7.59,6.7,4.07,1.9,0.0,0.45,2.0838
6.64,6.7,4.07,1.9,0.0,0.45,2.0838
7.17,6.7,4.07,1.9,0.0,0.45,2.0838
2.39,4.26,1.45,0.73,0.0,0.71,1.5798
2.64,4.26,1.45,0.73,0.0,0.71,1.5798
3.21,4.26,1.45,0.73,0.0,0.71,1.5798
2.02,4.26,1.45,0.88,0.0,0.69,1.5798
2.13,4.26,1.45,0.88,0.0,0.69,1.5798
2.65,4.26,1.45,0.88,0.0,0.69,1.5798
2.31,4.26,1.45,0.91,0.0,0.68,1.5798
2.53,4.26,1.45,0.91,0.0,0.68,1.5798
3.3,4.26,1.45,0.91,0.0,0.68,1.5798
2.06,4.26,1.45,0.94,0.0,0.63,1.5798
2.18,4.26,1.45,0.94,0.0,0.63,1.5798
2.82,4.26,1.45,0.94,0.0,0.63,1.5798
4.61,4.99,1.33,0.92,0.06,0.0,1.3284
4.45,4.99,1.33,0.92,0.06,0.0,1.3284
5.12,4.99,1.33,0.92,0.06,0.0,1.3284
5.2,5.86,1.49,0.99,0.0,0.0,1.4508
4.96,5.86,1.49,0.99,0.0,0.0,1.4508
5.3,5.86,1.49,0.99,0.0,0.0,1.4508
4.56,4.35,2.06,1.29,0.0,0.29,1.4544
3.29,4.35,2.06,1.29,0.0,0.29,1.4544
3.36,4.35,2.06,1.29,0.0,0.29,1.4544
3.37,4.35,2.06,1.29,0.0,0.29,1.4544
4.9,5.69,1.75,1.35,0.0,0.17,1.6914
5.4,5.69,1.76,1.33,0.0,0.15,1.6914
5.5,6.34,1.9,1.48,0.0,0.15,1.8138
5.9,6.34,1.91,1.46,0.0,0.13,1.8138
6.2,6.98,2.03,1.59,0.0,0.12,1.9949
6.1,6.98,2.04,1.61,0.0,0.13,1.9362
6.4,7.21,2.06,1.59,0.0,0.11,1.9362
6.3,6.98,2.04,1.59,0.0,0.11,1.9362
6.4,7.62,2.18,1.74,0.0,0.11,2.0586
6.6,7.62,2.18,1.74,0.0,0.11,2.0586
6.6,7.62,2.19,1.74,0.0,0.11,2.0586
6.9,8.27,2.33,1.87,0.0,0.09,2.181
5.0,4.89,2.29,1.3,0.0,0.31,1.5953
4.7,4.89,2.06,1.25,0.0,0.29,1.5953
5.3,5.47,2.25,1.25,0.0,0.28,1.7362
5.2,5.47,2.05,1.29,0.0,0.29,1.7362
4.3,4.35,2.06,1.29,0.0,0.29,1.4544
4.3,4.35,2.06,1.29,0.0,0.29,1.4544
5.083,6.34,1.88,1.48,0.0,0.15,1.8138
5.301,5.69,1.77,1.33,0.0,0.15,1.6914
4.98,5.05,1.62,1.2,0.0,0.18,1.569
5.09,5.69,1.76,1.33,0.0,0.15,1.6914
5.09,6.34,1.9,1.48,0.0,0.15,1.8138
5.14,6.34,1.9,1.48,0.0,0.15,1.8138
5.63,6.57,1.94,1.44,0.0,0.11,1.8138
5.26,6.34,1.91,1.46,0.0,0.13,1.8138
5.71,7.21,2.06,1.59,0.0,0.11,1.9362
5.77,6.98,2.04,1.59,0.0,0.11,1.9362
5.51,6.98,2.04,1.61,0.0,0.13,1.9362
5.26,6.98,2.02,1.61,0.0,0.13,1.9362
5.63,6.98,2.04,1.61,0.0,0.13,1.9362
5.51,6.98,2.03,1.59,0.0,0.12,1.9949
6.19,7.62,2.16,1.74,0.0,0.11,2.0586
6.06,7.62,2.19,1.74,0.0,0.11,2.0586
6.19,7.62,2.18,1.74,0.0,0.11,2.0586
5.77,7.62,2.18,1.74,0.0,0.11,2.0586
4.5,3.56,2.47,1.73,0.0,0.53,1.6286
4.21,3.56,2.47,1.73,0.0,0.53,1.6286
4.42,3.56,2.47,1.73,0.0,0.53,1.6286
2.75,0.48,1.89,2.23,0.58,1.29,1.7244
2.45,5.8,1.35,0.96,1.15,0.23,2.2574
1.95,5.8,1.35,0.96,1.15,0.23,2.2574
2.21,5.8,1.35,0.96,1.15,0.23,2.2574
0.08,1.55,2.0,1.45,0.45,1.0,1.3613
2.78,3.59,1.87,1.17,0.18,0.97,1.995
0.9,2.29,0.69,1.84,0.0,1.18,2.3154
1.27,1.55,2.0,1.45,0.45,1.0,1.3613
3.0,3.59,1.87,1.17,0.18,0.97,1.995
1.77,2.29,0.69,1.84,0.0,1.18,2.3154
-0.94,2.95,1.6,1.58,0.26,1.28,2.1882
-0.14,3.66,1.83,1.8,0.34,1.11,2.2519
4.37,3.93,1.03,0.86,0.0,0.0,1.0836
4.37,3.93,1.03,0.86,0.0,0.0,1.0836
4.34,3.93,0.98,0.73,0.0,0.0,1.0836
3.9,3.93,0.98,0.73,0.0,0.0,1.0836
3.74,3.93,0.98,0.81,0.0,0.0,1.0836
4.06,3.93,0.98,0.81,0.0,0.0,1.0836
4.46,4.99,1.33,0.92,0.06,0.0,1.3284
4.6,4.99,1.33,0.92,0.06,0.0,1.3284
4.26,5.86,1.49,0.99,0.0,0.0,1.4508
4.66,5.86,1.49,0.99,0.0,0.0,1.4508
4.36,5.31,0.99,1.72,0.0,0.6,2.204
4.43,5.31,0.99,1.72,0.0,0.6,2.204
3.92,3.93,1.03,0.86,0.0,0.0,1.0836
4.24,3.93,1.03,0.86,0.0,0.0,1.0836
3.74,3.93,0.98,0.73,0.0,0.0,1.0836
3.94,3.93,0.98,0.73,0.0,0.0,1.0836
4.31,3.93,0.98,0.81,0.0,0.0,1.0836
4.44,3.93,0.98,0.81,0.0,0.0,1.0836
4.36,4.99,1.33,0.92,0.06,0.0,1.3284
4.65,4.99,1.33,0.92,0.06,0.0,1.3284
4.38,5.86,1.49,0.99,0.0,0.0,1.4508
4.65,5.86,1.49,0.99,0.0,0.0,1.4508
4.25,5.31,0.99,1.72,0.0,0.6,2.204
