fold,r2,rmse,mae
1,0.9211656969388274,0.5158332653085508,0.2787791748060971
2,0.9144706987018982,0.5658687026442932,0.33416275840343257
3,0.8573510196955462,0.6637270411490397,0.3718239522302473
4,0.9156385177724449,0.49357105113397515,0.3272787983205221
5,0.8174523643083669,0.7382436806925354,0.39310216649550284
6,0.9070115659661984,0.5449524612575182,0.3439036545688159
7,0.9373687878577186,0.43380710695856545,0.2828977241009882
8,0.9479551814732806,0.42521778523245257,0.29528769647626024
9,0.8839751872223467,0.5513732177128591,0.3495620667444516
10,0.8642147171277317,0.6319580087781779,0.37236788302251744
