fold,r2,rmse,mae
1,0.9209493675305686,0.5165405301160996,0.2802779757949347
2,0.932243336379523,0.5036562397652056,0.3034684208608358
3,0.858339000427037,0.6614245749885307,0.3936695733746967
4,0.9045571302529357,0.5249879356151314,0.3500997618865222
5,0.8181098067290944,0.7369130951253641,0.40700641443085384
6,0.912600934894175,0.5283206001286384,0.3368520698318742
7,0.9312064821958902,0.4546477154806045,0.2728042769513718
8,0.9476186921311023,0.4265901670847822,0.28773528972921303
9,0.8779160631288708,0.5655870950246404,0.36554677855478573
10,0.8871347797517255,0.5761584531348773,0.35177596555997237
